Date,New cases,Cumulative cases,Cumulative Vancouver Coastal,Cumulative Fraser Health,Cumulative Island Health ,Cumulative Interior Health,Cumulative Northern Health,Hospitalization (Currently in hospital),ICU (Currently in ICU),Recovered,Deaths,Cumulative deaths,Active cases
2021-06-04,183,145049,35055,84505,5067,12518,7704,224,59,140835,1,1710,2453
2021-06-05,218,,,,,,,,,,,,
2021-06-06,131,,,,,,,,,,,,
2021-06-07,133,145530,35125,84790,5076,12619,7719,199,63,,12,1722,2102
2021-06-08,165,145695,35155,84868,5086,12661,7724,203,57,141879,0,1722,2051
2021-06-09,148,145843,35178,84943,5096,12693,7732,195,47,142106,3,1725,1975
2021-06-10,153,145996,35199,85016,5107,12732,7741,176,49,142314,4,1729,1910
2021-06-11,180,146176,35210,85123,5120,12771,7751,162,45,142526,1,1730,1880
2021-06-12,96,,,,,,,,,,,,
2021-06-13,113,,,,,,,,,,,,
2021-06-14,68,146453,35246,85271,5132,12834,7767,136,42,,3,1734,1537
2021-06-15,108,146561,35257,85324,5136,12871,7770,139,39,143299,0,1734,1496
2021-06-16,113,146674,35284,85375,5140,12902,7770,134,41,143449,4,1738,1454
2021-06-17,120,146794,35297,85428,5145,12945,7775,131,44,143579,1,1739,1451
2021-06-18,109,146902,35310,85493,5145,12971,7780,128,48,143748,1,1740,1389
2021-06-19,94,,,,,,,,,,,,
2021-06-20,90,,,,,,,,,,,,
2021-06-21,45,147131,35361,85592,5150,13031,7793,108,47,144153,3,1743,1204
2021-06-22,56,147187,35373,85610,5153,13046,7800,111,41,144263,0,1743,1150
2021-06-23,87,147271,35386,85640,5156,13087,7797,109,41,144383,1,1744,1119
2021-06-24,75,147346,35043,85684,5157,13099,7798,113,34,144466,3,1747,1111
2021-06-25,72,147418,35067,85713,5161,13112,7800,108,37,144554,,1749,1096
2021-06-26,57,,,,,,,,,,,,
2021-06-27,50,,,,,,,,,,,,
2021-06-28,38,147549,35475,85781,5156,13130,7800,107,37,144848,8,1754,930
2021-06-29,29,147578,35482,85788,5159,13140,7800,110,34,144931,0,1754,876
2021-06-30,44,147621,35494,85805,5160,13154,7799,108,34,145032,0,1754,816
2021-07-01,49,,,,,,,,,,,,
2021-07-02,35,147705,35515,85841,5160,13179,7801,99,30,145200,2,1756,729
2021-07-03,30,,,,,,,,,,,,
2021-07-04,37,,,,,,,,,,,,
2021-07-05,20,147790,35518,85874,5161,13224,7802,85,30,145362,3,1759,652
2021-07-06,46,147797,35502,85884,5163,13237,7800,87,22,145420,0,1759,602
2021-07-07,59,147856,35515,85904,5166,13254,7802,86,20,145455,0,1759,624
2021-07-08,63,147919,35531,85926,5171,13273,7803,74,19,145491,1,1760,653
2021-07-09,45,148031,35545,86001,5175,13292,7803,73,19,145594,0,1760,661
2021-07-10,46,,,,,,,,,,,,
2021-07-11,47,,,,,,,,,,,,
2021-07-12,30,148154,35583,86039,5180,13334,7803,66,14,145722,0,1760,658
2021-07-13,33,148187,,,,,,66,14,,0,1760,
2021-07-14,41,148228,35598,86060,5184,13363,7806,65,11,145817,0,1760,639
2021-07-15,58,148286,35607,86082,5189,13383,7807,63,11,,1,1761,654
2021-07-16,45,148331,35615,86095,5191,13404,7808,60,12,145908,0,1761,652
2021-07-17,56,,,,,,,,,,,,
2021-07-18,60,,,,,,,,,,,,
2021-07-19,40,148487,35642,86158,5195,13462,7811,49,12,146062,2,1763,653
2021-07-20,76,147442,35651,86185,5198,13499,7811,50,12,146099,0,1763,692
2021-07-21,78,148641,35674,86206,5200,13530,7812,48,16,146142,0,1763,729
2021-07-22,89,148730,35692,86236,5203,13567,7813,53,16,146178,0,1763,781
2021-07-23,112,148842,35707,86266,5208,13626,7816,46,17,146463,4,1767,603
2021-07-24,94,,,,,,,,,,,,
2021-07-25,79,,,,,,,,,,,,
2021-07-26,94,149109,35748,86314,5226,13781,7821,43,17,146636,1,1768,695
2021-07-27,150,149259,35765,86346,5229,13876,7824,44,22,146700,0,1768,783
2021-07-28,185,149444,35791,86381,5237,13989,7826,47,20,,3,1771,909
2021-07-29,202,149646,35813,86440,5252,14091,7829,51,20,146810,0,1771,1053
2021-07-30,243,,,,,,,47,16,,,,
2021-07-31,160,,,,,,,,,,,,
2021-08-01,196,,,,,,,,,,,,
2021-08-02,185,,,,,,,,,,,,
2021-08-03,201,150631,35960,86661,5307,14617,7862,53,19,147285,1,1772,1544
2021-08-04,342,150973,36017,86727,5339,14788,7875,55,23,147409,0,1772,1764
2021-08-05,402,151375,36058,86809,5364,15022,7895,58,21,147510,0,1772,2066
2021-08-06,464,151839,36118,86881,5391,15297,7924,52,24,147627,0,1772,2411
2021-08-07,422,,,,,,,,,,,,
2021-08-08,364,,,,,,,,,,,,
2021-08-09,293,,,,,,,68,20,,5,1777,
2021-08-10,395,153313,36321,87239,5484,16071,7969,71,23,148215,0,1777,3284
2021-08-11,536,153849,36426,87374,5510,16329,7981,72,29,148446,1,1778,3585
2021-08-12,513,154362,36518,87482,5539,16600,7994,81,33,148702,1,1779,3834
2021-08-13,717,155079,36619,87622,5579,16976,8054,82,39,148964,0,1779,4277
2021-08-14,532,,,,,,,,,,,,
2021-08-15,441,,,,,,,,,,,,
2021-08-16,461,156513,36817,87938,5691,17710,8128,104,47,149553,1,1780,5090
2021-08-17,,,,,,,,,,,1,1781,
2021-08-18,553,157567,37006,88229,5757,18145,8199,107,53,150102,1,1782,5580
2021-08-19,689,158256,37129,88448,5799,18423,8226,121,56,150377,2,1784,5982
2021-08-20,663,158919,37264,88610,5853,18697,8264,129,59,150657,1,1785,6345
2021-08-21,724,,,,,,,,,,,,
2021-08-22,545,,,,,,,,,,,,
2021-08-23,442,160630,37554,89029,5986,19465,8364,133,80,153627,16,1801,5056
2021-08-24,641,161271,37679,89178,6039,19738,8403,138,78,153967,0,1801,5357
2021-08-25,698,161969,37808,89381,6108,19990,8448,139,75,154669,1,1802,5356
2021-08-26,724,162693,37950,89566,6172,20261,8510,149,83,155096,2,1804,5640
2021-08-27,867,163560,38115,89794,6235,20611,8571,159,84,155928,3,1807,5657
2021-08-28,,,,,,,,,,,,,
